Material Number,Material Group,Material type,Base Unit of Measure,Gross weight,Net weight,Weight Unit,Division,Material description,Plant,Batch Management,Purchasing Group,MRP Type,MRP Controller,Planned Deliv. Time,GR processing time,Period Indicator,Lot Sizing Procedure,ReOrder Level,Max Stock Level,Procurement Type,Special procurement,Sched. Margin Key,In-house production,QM Control Key,Loading Group,Batch Management(Plant),Availability check,Prod. stor. location,MRP Group,Planning Strategy Group,Storage loc. for EP,Valuation area,Valuation Type,Price control,Moving price,Standard price,Price unit,Valuation Class
TM-300-472,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-472,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-473,800-504,HAWA,PC,0,0,KG,20,Fastners 300-473,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-474,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-474,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-475,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-475,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-476,800-504,HAWA,PC,0,0,KG,50,Fastners 300-476,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-477,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-477,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-478,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-478,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-479,800-504,HAWA,PC,0,0,KG,20,Fastners 300-479,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-480,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-480,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-481,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-481,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-482,800-504,HAWA,PC,0,0,KG,50,Fastners 300-482,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-483,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-483,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-484,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-484,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-485,800-504,HAWA,PC,0,0,KG,20,Fastners 300-485,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-486,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-486,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-487,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-487,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-488,800-504,HAWA,PC,0,0,KG,50,Fastners 300-488,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-489,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-489,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-490,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-490,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-491,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-491,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-492,800-504,HAWA,PC,0,0,KG,20,Fastners 300-492,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-493,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-493,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-494,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-494,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-495,800-504,HAWA,PC,0,0,KG,50,Fastners 300-495,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,X,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-496,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-496,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-497,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-497,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-498,800-504,HAWA,PC,0,0,KG,20,Fastners 300-498,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-499,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-499,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-500,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-500,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-501,800-504,HAWA,PC,0,0,KG,50,Fastners 300-501,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-502,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-502,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-503,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-503,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-504,800-504,HAWA,PC,0,0,KG,20,Fastners 300-504,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-505,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-505,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-506,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-506,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-507,800-504,HAWA,PC,0,0,KG,50,Fastners 300-507,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-508,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-508,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-509,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-509,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-510,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-510,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-511,800-504,HAWA,PC,0,0,KG,20,Fastners 300-511,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-512,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-512,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-513,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-513,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-514,800-504,HAWA,PC,0,0,KG,50,Fastners 300-514,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-515,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-515,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-516,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-516,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-517,800-504,HAWA,PC,0,0,KG,20,Fastners 300-517,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-518,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-518,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-519,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-519,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-520,800-504,HAWA,PC,0,0,KG,50,Fastners 300-520,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-521,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-521,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-522,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-522,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-523,800-504,HAWA,PC,0,0,KG,20,Fastners 300-523,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-524,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-524,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-525,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-525,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-526,800-504,HAWA,PC,0,0,KG,50,Fastners 300-526,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-527,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-527,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-528,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-528,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-529,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-529,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-530,800-504,HAWA,PC,0,0,KG,20,Fastners 300-530,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-531,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-531,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-532,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-532,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-533,800-504,HAWA,PC,0,0,KG,50,Fastners 300-533,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-534,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-534,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-535,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-535,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-536,800-504,HAWA,PC,0,0,KG,20,Fastners 300-536,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-537,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-537,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-538,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-538,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-539,800-504,HAWA,PC,0,0,KG,50,Fastners 300-539,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-540,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-540,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-541,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-541,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-542,800-504,HAWA,PC,0,0,KG,20,Fastners 300-542,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-543,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-543,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-544,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-544,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-545,800-504,HAWA,PC,0,0,KG,50,Fastners 300-545,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-546,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-546,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-547,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-547,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-548,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-548,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-549,800-504,HAWA,PC,0,0,KG,20,Fastners 300-549,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-550,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-550,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-551,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-551,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-552,800-504,HAWA,PC,0,0,KG,50,Fastners 300-552,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-553,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-553,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-554,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-554,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-555,800-504,HAWA,PC,0,0,KG,20,Fastners 300-555,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-556,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-556,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-557,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-557,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-558,800-504,HAWA,PC,0,0,KG,50,Fastners 300-558,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-559,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-559,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-560,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-560,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-561,800-504,HAWA,PC,0,0,KG,20,Fastners 300-561,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-562,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-562,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-563,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-563,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-564,800-504,HAWA,PC,0,0,KG,50,Fastners 300-564,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-565,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-565,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-566,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-566,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-567,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-567,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-568,800-504,HAWA,PC,0,0,KG,20,Fastners 300-568,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-569,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-569,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-570,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-570,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-571,800-504,HAWA,PC,0,0,KG,50,Fastners 300-571,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-572,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-572,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-573,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-573,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-574,800-504,HAWA,PC,0,0,KG,20,Fastners 300-574,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-575,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-575,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-576,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-576,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-577,800-504,HAWA,PC,0,0,KG,50,Fastners 300-577,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-578,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-578,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-579,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-579,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-580,800-504,HAWA,PC,0,0,KG,20,Fastners 300-580,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-581,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-581,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-582,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-582,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-583,800-504,HAWA,PC,0,0,KG,50,Fastners 300-583,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-584,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-584,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-585,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-585,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-586,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-586,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-587,800-504,HAWA,PC,0,0,KG,20,Fastners 300-587,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-588,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-588,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-589,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-589,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-590,800-504,HAWA,PC,0,0,KG,50,Fastners 300-590,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-591,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-591,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-592,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-592,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-593,800-504,HAWA,PC,0,0,KG,20,Fastners 300-593,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-594,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-594,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,X,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-595,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-595,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,X,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-596,800-504,HAWA,PC,0,0,KG,50,Fastners 300-596,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-597,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-597,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-598,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-598,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-599,800-504,HAWA,PC,0,0,KG,20,Fastners 300-599,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-600,800-502,HAWA,EA,0,0,KG,30,Electric Motor 300-600,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-601,800-503,HAWA,SET,0,0,KG,40,Mechanical Seal 300-601,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-602,800-504,HAWA,PC,0,0,KG,50,Fastners 300-602,1710,,150,VB,150,10,1,M,HB,75,250,F,,000,0,0000,001,,02,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-603,800-502,HAWA,EA,0,0,KG,50,Electric Motor 300-603,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,S,0,1,1,3100
TM-300-604,800-502,HAWA,EA,0,0,KG,60,Electric Motor 300-604,1710,X,130,ND,130,30,2,M,0,0,0,F,,000,0,0000,001,,,,0000,10,6200,1710,,V,1,0,1,7900
TM-300-605,800-503,HAWA,SET,0,0,KG,10,Mechanical Seal 300-605,1710,,140,PD,140,30,2,M,EX,0,0,F,,000,0,0000,001,,02,,0000,10,6200,1710,,V,1,0,1,7900
